Date,Close_JPM,High_JPM,Low_JPM,Open_JPM,Volume_JPM,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
2025-01-02,236.1674041748047,239.39502416398415,235.62618420388026,237.07271075566047,9220900,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-03,239.39501953125,240.96947486799442,236.42324221532635,239.99527893918292,9491100,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-06,238.22787475585938,243.01517810725005,237.96081001692087,241.04683778183934,9917800,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-07,240.52259826660156,242.5898407444663,238.27730760657013,239.5038131184609,8753400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-08,240.48304748535156,241.59084921093364,237.88167547688656,240.1071797173148,8675300,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-10,237.25852966308594,241.15563728448862,236.14084223994922,240.4434747195284,10256800,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-13,241.55128479003906,241.87767878824903,236.39799958099405,237.06070345907608,10005300,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-14,244.77578735351562,245.0230655954703,239.55327209084598,240.0181563931341,12407400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-15,249.6026611328125,250.90828238994175,241.02703850044367,247.67387878946352,18448500,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-16,251.50177001953125,254.2416172912491,249.58288835965183,251.2347052800978,15292300,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-17,256.3385314941406,257.78262803797566,249.39495393256828,251.37317995411405,17678100,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-21,260.1663818359375,261.37310085999866,256.67481427878766,257.2386159130127,13712100,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-22,259.97845458984375,260.51258405617364,257.4166555687672,260.03779895439897,9021900,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-23,263.05462646484375,263.95469277294893,260.937910058996,261.808334368491,10749700,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-24,261.9566650390625,264.1920699225587,260.14660165677276,260.81919120541244,7666300,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-27,262.9557189941406,263.07440773437537,259.40480665055094,261.2940162601827,7522300,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-28,264.2316589355469,264.4195626333525,261.9467801555638,262.9556947251147,7375400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-29,263.677734375,267.7331037753792,262.71829354260785,264.30088040438187,7684900,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-30,265.3097839355469,266.7637812150296,263.71729635071705,265.70542308815914,8753500,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-01-31,264.389892578125,267.87158965347584,264.0535977806801,266.29890360718946,7193800,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-03,263.9052429199219,265.2504523258838,258.8508898677084,258.9794492048562,8381400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-04,265.0229187011719,266.9022272156622,263.9249876615221,266.9022272156622,5626000,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-05,267.48583984375,267.69357532155607,265.4086963630366,265.98239884649814,5704400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-06,273.8853759765625,273.96452191812796,268.23754935695746,269.48384136128794,7264400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-07,272.79736328125,275.51742413051505,271.7192336941451,274.25136065172507,6857900,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-10,268.08917236328125,273.1731970391959,266.6549465654495,273.1435248592222,8627400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-11,271.9961853027344,273.2128052090683,266.7242260792898,267.3176999405584,7196400,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-12,272.4512023925781,273.4403154451047,270.27514160288575,271.09609215493543,6683900,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-13,273.31170654296875,273.9546239444663,270.82902329782263,272.5006266529158,8398700,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-14,273.5787658691406,276.19003872412003,273.4403057430738,274.3502728153239,5688600,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-18,276.9021911621094,276.9219625550137,273.014954205126,273.74691833724296,7919800,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-19,276.2098083496094,277.19892136070916,274.2019101444902,275.349284859606,7007200,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-20,263.89532470703125,275.70533582188443,262.8468673880196,275.6459914593239,13846700,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
2025-02-21,261.36322021484375,266.26924263014877,259.9784679949329,265.39881832468063,12835600,42791000000.0,,,14005000000.0,4002814000000.0,,4105000000.0,,,,
