Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL,,,,
Date,,,,,,,,,
2020-04-07,46.81578826904297,48.26379761328741,46.76967412851418,48.09778389275705,14063000,2850792605,67.00232,40.3324,4.31
2020-04-08,48.30774688720703,48.817419309760055,47.1493988654967,47.242065293234475,15710700,2850792605,67.00232,40.3324,4.31
2020-04-09,49.280757904052734,49.6884951300123,48.215076323366205,48.409681475185565,15521200,2850792605,67.00232,40.3324,4.31
2020-04-13,49.08616256713867,49.24369621948271,48.55795609104696,48.8359589413587,12694800,2850792605,67.00232,40.3324,4.31
2020-04-14,50.04063415527344,50.13330058230269,49.5309617366174,49.77189656789199,11674600,2850792605,67.00232,40.3324,4.31
2020-04-15,49.26222229003906,49.530959867278135,48.93788627267982,49.30855550180503,10398100,2850792605,67.00232,40.3324,4.31
2020-04-16,49.762638092041016,49.92017174636777,49.17882962453995,49.25296560422177,14098300,2850792605,67.00232,40.3324,4.31
2020-04-17,50.61516571044922,50.70783565770201,50.01282696079271,50.52249929819346,13608800,2850792605,67.00232,40.3324,4.31
2020-04-20,49.95724105834961,50.57811753212336,49.85530585108838,50.086975491228195,10358900,2850792605,67.00232,40.3324,4.31
2020-04-21,47.54787063598633,49.429026682874714,47.37179947514616,49.32709149186149,14111700,2850792605,67.00232,40.3324,4.31
2020-04-22,48.43749237060547,48.724764018245764,47.97415305602344,48.215087944206786,9668300,2850792605,67.00232,40.3324,4.31
2020-04-23,48.159481048583984,49.10469350887632,47.67760782167037,48.40041589454189,10330200,2850792605,67.00232,40.3324,4.31
2020-04-24,49.12322235107422,49.16029033692432,48.15021069999421,48.567216703313555,9403500,2850792605,67.00232,40.3324,4.31
2020-04-27,49.45682907104492,49.70703268273628,49.16956100706427,49.44756384172206,9123200,2850792605,67.00232,40.3324,4.31
2020-04-28,49.299293518066406,50.17963873954928,49.23442631032535,49.947969130474725,8350500,2850792605,67.00232,40.3324,4.31
2020-04-29,49.92943572998047,50.30010498789928,49.753364562596126,49.9943029384912,9064100,2850792605,67.00232,40.3324,4.31
2020-04-30,49.08616256713867,49.66996749229391,48.9286253797966,49.54950182932424,11808800,2850792605,67.00232,40.3324,4.31
