Date,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,SharesOutstanding
2015-01-02,37.6483268737793,38.37869996504577,37.34258764315781,38.234324905987826,15070200,2850792605
2015-01-05,37.12033462524414,37.682376724413366,37.11182026324129,37.60573447232136,18369400,2850792605
2015-01-06,36.737125396728516,37.62276852577335,36.609390468521156,37.52057993350411,19229500,2850792605
2015-01-07,36.745635986328125,37.06071931391999,36.626412194859164,36.898920469700634,13502200,2850792605
2015-01-08,36.96705627441406,37.418392251573856,36.9415099356366,37.15440475482777,17516900,2850792605
2015-01-09,36.95002746582031,37.554648024497496,36.83932124076814,37.45245941211257,15957500,2850792605
2015-01-12,36.84783935546875,37.27362903614412,36.498691947255644,36.83932174268546,16055700,2850792605
2015-01-13,36.55829620361328,37.426907398527476,36.25172716440628,37.18846300774596,12878200,2850792605
2015-01-14,36.66899871826172,36.762669694346776,36.158049288211735,36.158049288211735,12707400,2850792605
2015-01-15,36.302825927734375,37.16291957857286,36.251730001029415,37.026667022543485,13431000,2850792605
2015-01-16,37.05221176147461,37.145885998796295,35.97922333514672,36.18360378462287,17786700,2850792605
2015-01-20,37.384334564208984,37.49503754018361,36.813774713535345,37.094797456818796,16308400,2850792605
2015-01-21,37.035194396972656,37.40988821269253,36.79674992467998,37.20550770051567,15876600,2850792605
2015-01-22,37.512062072753906,38.602085627596495,36.77118909883036,37.42690545451598,17969100,2850792605
2015-01-23,37.631290435791016,37.92934515842128,37.40136362068222,37.45245955132332,14150300,2850792605
2015-01-26,37.384334564208984,37.64832208224415,37.07776548008791,37.61425812878238,12059500,2850792605
2015-01-27,36.95853805541992,37.358778064753984,36.26024338120148,36.626419443374445,14984100,2850792605
2015-01-28,36.353912353515625,37.452450224858985,36.336880380876586,37.41838627958091,15132500,2850792605
2015-01-29,36.49869155883789,36.63494412526332,36.038837928958046,36.46462760510218,12805100,2850792605
2015-01-30,35.67266082763672,36.209156763453734,35.6130505290479,35.84297735868376,22590000,2850792605
2015-02-02,36.34540939331055,36.3709557360249,35.39164136593577,35.94516603202502,16889500,2850792605
2015-02-03,36.65198516845703,36.73714182534345,36.22619538698848,36.56682526305239,12657100,2850792605
2015-02-04,36.123992919921875,36.7541630412689,36.03883628797752,36.5923641411677,12912000,2850792605
2015-02-05,36.7541618347168,36.82228973684963,36.1921196361896,36.1921196361896,9630300,2850792605
2015-02-06,36.60087966918945,37.018154975431365,36.51572303453635,36.83932084503204,9522100,2850792605
2015-02-09,36.95853805541992,37.15440087882102,36.30282169089445,36.30282169089445,12705700,2850792605
2015-02-10,37.460975646972656,37.5205859393812,37.09479628016746,37.2906591335837,12714800,2850792605
2015-02-11,36.924476623535156,37.46948682117129,36.694549837310475,37.435422871689774,12836900,2850792605
2015-02-12,37.37582015991211,37.52059035029292,36.967062428835526,37.02667272825184,12519700,2850792605
2015-02-13,37.409881591796875,37.66535475041514,37.29917536527256,37.29917536527256,10155700,2850792605
2015-02-17,37.33324432373047,37.384340261710314,37.077771130867056,37.188474123713206,10118600,2850792605
2015-02-18,37.55463409423828,37.56315170374606,37.17142612780998,37.222518790791774,8661100,2850792605
2015-02-19,37.56317901611328,37.78458829655996,37.469504734514025,37.580210998996655,8465700,2850792605
2015-02-20,37.273616790771484,37.54612183699719,37.009626106014416,37.5205755040749,14731200,2850792605
2015-02-23,37.28215026855469,37.367310169488455,36.873392489626774,37.009645082602745,10995500,2850792605
2015-02-24,37.367286682128906,37.43541131153785,36.94149719064595,37.290644443721334,10522500,2850792605
2015-02-25,37.239559173583984,37.546128214792525,36.941507743807314,37.32471904531799,11785400,2850792605
2015-02-26,37.37582015991211,37.59723262790214,37.22253560469368,37.29917788230289,8519300,2850792605
2015-02-27,37.316200256347656,37.56315900380791,37.19697968819908,37.27362194608271,9549500,2850792605
2015-03-02,37.49504089355469,37.50355850694061,37.026672861377826,37.30769562979456,11091000,2850792605
2015-03-03,36.94150161743164,37.36729115993795,36.76266754070652,37.3247128553906,10058700,2850792605
2015-03-04,37.13736343383789,37.17994173725785,36.46461519484705,36.78821614816812,14697600,2850792605
2015-03-05,37.29918670654297,37.37582900228421,36.8393329320955,37.179966079505135,10983500,2850792605
2015-03-06,36.08992004394531,37.1373618564656,36.021792162553986,37.1373618564656,15086600,2850792605
2015-03-09,36.353912353515625,36.43907221671082,35.92812278308951,35.97921870100663,11474200,2850792605
2015-03-10,35.6130485534668,36.23470109606326,35.57898459944351,35.97071357367641,13960700,2850792605
2015-03-11,35.31499099731445,35.902579484729834,35.26389507507607,35.70671665559137,11108800,2850792605
2015-03-12,35.44273376464844,35.56195436104114,35.13616466048571,35.306481190411404,13716700,2850792605
2015-03-13,36.08992004394531,36.166562286252464,35.34904395213745,35.37459353191729,18405400,2850792605
2015-03-16,36.96705627441406,37.069244878041026,36.39649971826995,36.46462437118221,17423200,2850792605
2015-03-17,36.507205963134766,36.907449298675694,36.49869159895019,36.71158643725623,21509000,2850792605
2015-03-18,37.5801887512207,38.26996578279151,36.91595480607538,37.72495564724833,37900300,2850792605
2015-03-19,37.60574722290039,37.88676999202669,37.469494645040946,37.469494645040946,15729600,2850792605
2015-03-20,37.81863784790039,38.091142973132925,37.520586382338976,37.58019667545126,20724700,2850792605
2015-03-23,37.68238830566406,37.99747177287226,37.605746030016924,37.7590305813112,10749200,2850792605
2015-03-24,37.22252655029297,37.89527490693657,37.22252655029297,37.750508000288065,14913400,2850792605
2015-03-25,36.55829620361328,37.25659090468837,36.55829620361328,37.19698061912222,17491000,2850792605
2015-03-26,36.609397888183594,36.81377511414341,36.15805862119725,36.43056375482196,14065600,2850792605
2015-03-27,36.31133270263672,36.720090285299534,36.12398425905591,36.55829142399025,18030800,2850792605
2015-03-30,36.99260330200195,37.154405446651005,36.72009818824452,36.81377243019561,12730100,2850792605
2015-03-31,36.745635986328125,37.103297615186534,36.728604016118275,36.88188849949078,13264200,2850792605
2015-04-01,36.56680679321289,36.72009129699925,36.37946159298691,36.60938834866645,12050900,2850792605
2015-04-02,36.421546936035156,36.840285077242925,36.30190839852027,36.73773822507383,11183900,2850792605
2015-04-06,36.712093353271484,36.83173187216597,36.07116992213237,36.13098918157961,9766500,2850792605
2015-04-07,36.712093353271484,37.156467323383225,36.695001670585825,36.73773250725255,8075400,2850792605
2015-04-08,36.84027099609375,37.03682041258644,36.618082431429386,36.618082431429386,6947100,2850792605
2015-04-09,36.91719436645508,37.011197001664776,36.5240954009468,36.720644883700935,9399500,2850792605
2015-04-10,37.182098388671875,37.506833797716205,36.81463866831967,36.81463866831967,12542800,2850792605
2015-04-13,36.81463623046875,37.42137617726199,36.771905402181034,37.21627928515629,10943400,2850792605
2015-04-14,36.515533447265625,36.797541241055214,36.327528251405894,36.78044956325849,10510500,2850792605
2015-04-15,37.59229278564453,37.76320307315734,36.60099812250828,36.70354494699692,18188700,2850792605
2015-04-16,37.139373779296875,37.56665604530785,36.95991600994946,37.33592323047333,11960800,2850792605
2015-04-17,36.746273040771484,37.08810014046152,36.626634533851416,36.797548083696434,12473500,2850792605
2015-04-20,37.019737243652344,37.43847532106643,36.959917984008214,37.01119303223396,10426300,2850792605
2015-04-21,37.10519027709961,37.489744967054676,37.08810185523936,37.18210121509062,9312900,2850792605
2015-04-22,37.216285705566406,37.387199268489084,37.03682793145487,37.182102341000856,7343900,2850792605
2015-04-23,37.07955551147461,37.28465243898643,36.737731645495,37.18210234527798,11311000,2850792605
2015-04-24,36.81463623046875,37.24191843410982,36.53262841131148,37.09664078972151,17767100,2850792605
2015-04-27,37.26755142211914,37.558103428373634,36.80608589573183,36.831721782785266,12916000,2850792605
2015-04-28,38.02811813354492,38.09648485449431,37.13082611046469,37.353011433740825,18287700,2850792605
2015-04-29,38.22465515136719,38.36993275624733,37.327363419719845,37.94265066880539,36608700,2850792605
2015-04-30,37.27610778808594,37.95121461983687,37.18210515836045,37.6435708352463,20196300,2850792605
2015-05-01,37.91701889038086,37.92556635933566,37.122273792605576,37.122273792605576,11942000,2850792605
2015-05-04,38.10502243041992,38.32720771501269,37.805926228101946,38.07083907589669,9168200,2850792605
2015-05-05,37.53247833251953,38.13067424697995,37.50684243586874,38.00249150382052,11410200,2850792605
2015-05-06,36.96846008300781,37.80593618998167,36.74627473986912,37.77175282645111,12732100,2850792605
2015-05-07,37.156471252441406,37.31029315297288,36.76337228881896,36.8915550326582,8787100,2850792605
2015-05-08,37.609378814697266,37.805931500665785,37.335918460181794,37.45556021769881,9582900,2850792605
2015-05-11,37.464111328125,37.77175509859629,37.25901439450909,37.57520563632967,7429400,2850792605
2015-05-12,37.233360290527344,37.33590707723009,36.98553590108409,37.30172698826489,8515100,2850792605
2015-05-13,37.42139434814453,37.660671455201,37.27611663321304,37.395755186741276,7451200,2850792605
2015-05-14,37.925575256347656,37.942666938362564,37.60083981787443,37.694842439003914,7293000,2850792605
2015-05-15,37.72900390625,37.97682500187569,37.549542979199714,37.95118912368413,9369500,2850792605
2015-05-18,37.80592346191406,37.951197818152174,37.49827981352293,37.5495515816522,6070900,2850792605
2015-05-19,37.87430191040039,37.99394042997006,37.73757170804861,37.95975706440582,8640000,2850792605
2015-05-20,37.84865951538086,38.11357240323995,37.67774597682056,37.78884026587045,9055700,2850792605
2015-05-21,37.840126037597656,37.98540374005967,37.558121365615584,37.78885423900409,8036400,2850792605
2015-05-22,37.54102325439453,37.83157534968546,37.498295676244005,37.77175608829367,7484300,2850792605
2015-05-26,37.02827453613281,37.45555670750806,36.87445269364539,37.37864578626434,10440400,2850792605
2015-05-27,37.72046661376953,37.814469205696014,37.09663508359851,37.207729352230174,11096800,2850792605
2015-05-28,37.481201171875,37.814480820231225,37.29319593027713,37.66920641347287,7273200,2850792605
2015-05-29,37.165016174316406,37.464112482655636,37.05392186268815,37.42138490430793,10358700,2850792605
