Date,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,tradeable,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,cryptoTradeable,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,shortName,longName,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,hasPrePostMarketData,firstTradeDateMilliseconds,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,postMarketTime,regularMarketTime,marketState,displayName,trailingPegRatio
1996-01-02,2.5727150440216064,2.580150415846023,2.520665718105424,2.5429725994210144,45603000,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-03,2.4537458419799805,2.580150619250639,2.4537458419799805,2.528101289231179,55518750,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-04,2.424003839492798,2.476052413213328,2.357082986539369,2.476052413213328,129803850,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-05,2.5504086017608643,2.557843975423464,2.364518324916267,2.386825403207228,83783700,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-08,2.5132312774658203,2.5950221209842383,2.5057949455832205,2.5875867464049187,12594150,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-09,2.394261598587036,2.5206672063678988,2.349648383996897,2.5206672063678988,96068700,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-10,2.4388747215270996,2.5281018921831264,2.3496477423317184,2.357083116515634,124564500,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-11,2.490924596786499,2.513231681413116,2.4240044916707695,2.4760530793949633,61105050,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-12,2.5355374813079834,2.5355374813079834,2.476052759648247,2.498359649933562,61249500,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
1996-01-15,2.379390001296997,2.5578439450572636,2.3496475496965328,2.550408571482935,69793650,2300 Oracle Way,Austin,TX,78741,United States,(737) 867-1000,https://www.oracle.com,Software - Infrastructure,software-infrastructure,Software - Infrastructure,Technology,technology,Technology,162000,2,10,10,6,10,1759276800,1767139200,http://www.oracle.com/us/corporate/investor-relations/index.html,86400,2,289.01,291.8,286.05,294.97,289.01,291.8,286.05,294.97,2.0,0.69,1759968000,0.41669998,1.33,1.531,67.158134,40.3324,15002480,15002480,19713177,30873860,30873860,289.6,288.99,2,2,823907581952,118.86,345.72,345.72,0.040123,13.960277,261.9606,193.4441,1.9,0.0065741665,USD,False,921759186944,0.21079999,1674877814,2850792605,23583435,22359262,1755216000,1757894400,0.0083,0.40941003,0.44497,0.97,0.0139999995,2853063130,8.502,33.966125,1748649600,1780185600,1756598400,-0.001,12440999936,4.3,7.16,2:1,971395200,15.618,37.68,0.6901556,0.16766965,0.5,1752105600,EQUITY,288.78,400.0,175.14314,330.86865,345.0,1.85366,buy,35,11004999680,3.873,24462999552,111621996544,0.498,0.618,59017998336,452.534,21.038,0.07152,0.69241995,41113001984,-2832250112,21533999104,-0.019,0.122,0.69662005,0.4145,0.31381,USD,ORCL,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,False,0.422467,290.0,1.22,-0.230011,286.05 - 294.97,0.10237951,95.33589,0.4928343,15,0,1.9 - Buy,1757448000,1765224000,1765224000,1757451600,1757451600,False,4.3,7.16,6.79583,42.493706,26.819397,Oracle Corporation,Oracle Corporation,NYSE,19713177,169.92,1.429581,118.86 - 345.72,-56.940002,-0.16469976,69.015564,1761177600,True,511021800000,NYQ,finmb_22247,America/New_York,EDT,-14400000,us_market,False,-0.0795858,288.78,1759449599,1759435202,POSTPOST,Oracle,2.306
