Date,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
1988-01-04,0.15119066834449768,0.15366886216539824,0.14375448339952188,0.14375448339952188,58190400,,,,,,,,,,,
1988-01-05,0.1487116813659668,0.16606144433709485,0.14623348740202707,0.15119067707108985,80052300,,,,,,,,,,,
1988-01-06,0.14995077252388,0.153668865066563,0.14375448611350983,0.1487116755900364,38029500,,,,,,,,,,,
1988-01-07,0.15366895496845245,0.15366895496845245,0.14375457021512608,0.14995086025054977,28139400,,,,,,,,,,,
1988-01-08,0.13384094834327698,0.15366891035134495,0.13012285470490678,0.15366891035134495,68007600,,,,,,,,,,,
1988-01-11,0.13879813253879547,0.14127632701640988,0.12640475492667486,0.13384094184221712,75394800,,,,,,,,,,,
1988-01-12,0.13136199116706848,0.14127637599758863,0.11896941099973202,0.13879818066077232,61527600,,,,,,,,,,,
1988-01-13,0.13136199116706848,0.13384098824551224,0.12392660341499209,0.13136199116706848,10254600,,,,,,,,,,,
1988-01-14,0.12640471756458282,0.1363190960272957,0.12640471756458282,0.13136190679593926,10829700,,,,,,,,,,,
1988-01-15,0.12640471756458282,0.13879809151353018,0.12392652381946086,0.12640471756458282,46226700,,,,,,,,,,,
1988-01-18,0.12640471756458282,0.1288837130508173,0.12392652381946086,0.12640471756458282,11210400,,,,,,,,,,,
1988-01-19,0.1239265501499176,0.12640474442157715,0.12144835587825806,0.12640474442157715,10376100,,,,,,,,,,,
1988-01-20,0.1164911538362503,0.12268744063129328,0.11277306106274373,0.12268744063129328,29297700,,,,,,,,,,,
1988-01-21,0.12144840508699417,0.12640479563855467,0.114012215776438,0.11649121279382596,38653200,,,,,,,,,,,
1988-01-22,0.1276446431875229,0.13136193459177478,0.12144835577248757,0.12144835577248757,38815200,,,,,,,,,,,
1988-01-25,0.13260109722614288,0.13384099671463626,0.12640480675038887,0.12764470623888222,19350900,,,,,,,,,,,
