Date,Close_XOM,High_XOM,Low_XOM,Open_XOM,Volume_XOM,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
2000-01-03,17.40645408630371,17.9482351791735,17.30921132604503,17.67039872129156,13458200,,,,,,,,,,,
2000-01-04,17.07305145263672,17.37867157628034,17.003592333626806,17.198077866854565,14510800,,,,,,,,,,,
2000-01-05,18.003795623779297,18.170497435110587,17.295312925621317,17.336988378454137,17485000,,,,,,,,,,,
2000-01-06,18.934553146362305,19.07347136460414,17.823207400427613,17.9204501531969,19461600,,,,,,,,,,,
2000-01-07,18.878990173339844,19.17071849831419,18.670612798358167,19.1012593733203,16603800,,,,,,,,,,,
2000-01-10,18.61504554748535,18.809531097981466,18.57337007237904,18.712288322733407,8545400,,,,,,,,,,,
2000-01-11,18.670602798461914,18.948439149629504,18.587251893111638,18.615035528228397,8722600,,,,,,,,,,,
2000-01-12,18.559467315673828,18.75395275161652,18.406657330290287,18.50390004826163,10314200,,,,,,,,,,,
2000-01-13,18.990121841430664,19.115148247116746,18.476124395832322,18.559475332956378,12056000,,,,,,,,,,,
2000-01-14,18.61504554748535,19.00401664847758,18.44834364706011,19.00401664847758,11268800,,,,,,,,,,,
2000-01-18,18.837305068969727,19.004006883739372,18.309415988865855,18.392766896250677,11929400,,,,,,,,,,,
2000-01-19,19.01789665222168,19.08735573422395,18.601142160208056,18.726168507812144,13088800,,,,,,,,,,,
2000-01-20,18.60114097595215,18.94843636385267,18.378871927695812,18.934544548336653,9613400,,,,,,,,,,,
2000-01-21,18.892871856689453,18.934547309314503,18.517792783064,18.67060277602252,14343600,,,,,,,,,,,
2000-01-24,18.726181030273438,19.184611278047193,18.44834451647116,18.9901257183856,12459400,,,,,,,,,,,
2000-01-25,18.684492111206055,19.142922029176166,18.6289248484218,18.670600295509992,11921600,,,,,,,,,,,
