Date,Close_META,High_META,Low_META,Open_META,Volume_META,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
2023-01-03,123.97572326660156,125.59574120579911,121.53079645118066,122.06748881300227,35528500,,,,,,,,,,,
2023-01-04,126.58960723876953,128.25931418865747,125.07891602653082,126.59954050930124,32397100,,,,,,,,,,,
2023-01-05,126.16224670410156,127.73256793435728,123.77694988060482,125.35720438179855,25447100,,,,,,,,,,,
2023-01-06,129.223388671875,129.5314869158771,125.26777027618071,128.17981885180623,27584500,,,,,,,,,,,
2023-01-09,128.6767578125,132.13543212468863,128.48791948774445,130.3564058607352,26649100,,,,,,,,,,,
2023-01-10,132.17520141601562,132.62244131987111,126.37097802506372,126.49023795534481,28684400,,,,,,,,,,,
2023-01-11,132.0758056640625,133.02993058511953,129.54142603389022,130.1576377150046,25423000,,,,,,,,,,,
2023-01-12,135.8723907470703,136.8364336493006,130.95270703873578,132.62242164142668,30757700,,,,,,,,,,,
2023-01-13,136.14071655273438,136.5482081142018,134.0138289821679,134.143037322462,22423800,,,,,,,,,,,
2023-01-17,134.53065490722656,135.91213782217085,133.42745522944378,135.34562291168555,21147600,,,,,,,,,,,
2023-01-18,132.20501708984375,136.40909647254938,131.98636377298422,134.9779166404875,20215500,,,,,,,,,,,
2023-01-19,135.31582641601562,136.60786457376756,131.3304004524365,131.67826212905086,28625200,,,,,,,,,,,
2023-01-20,138.51608276367188,139.08259768412512,133.78525248338724,135.05740878002345,28688600,,,,,,,,,,,
2023-01-23,142.3922119140625,142.87920005678816,137.81045603873784,138.43658581728528,27470100,,,,,,,,,,,
2023-01-24,142.26300048828125,144.11160513315303,140.49390751435348,140.82188747000984,21970200,,,,,,,,,,,
2023-01-25,140.633056640625,142.29282305110576,139.450345115927,140.35477336014327,26622000,,,,,,,,,,,
2023-01-26,146.39749145507812,146.60619628612716,142.4219995766798,143.51525074406055,25482100,,,,,,,,,,,
2023-01-27,150.810302734375,152.25141563019716,146.4869488816092,147.33174704397013,35771900,,,,,,,,,,,
2023-01-30,146.15896606445312,150.19408815910592,146.04963942401824,148.49457376224427,28040100,,,,,,,,,,,
2023-01-31,148.0572967529297,148.96172503475248,146.61618359794838,147.04354180885025,29842100,,,,,,,,,,,
2023-02-01,152.18185424804688,152.63904257690805,146.15898529158153,147.12304347533797,55661000,,,,,,,,,,,
2023-02-02,187.61341857910156,195.95201280351327,179.05617107199924,182.25644348378054,150475700,,,,,,,,,,,
2023-02-03,185.3871612548828,195.56442797892458,181.76946352136775,182.34591178001534,76809700,,,,,,,,,,,
2023-02-06,184.92001342773438,189.53158367763862,184.38332866457824,185.38713496478644,42483800,,,,,,,,,,,
2023-02-07,190.44593811035156,192.59270741540576,183.2701738859877,184.4429519039574,47080700,,,,,,,,,,,
2023-02-08,182.30612182617188,189.66079131558624,181.79925204256867,188.8358748844132,36139100,,,,,,,,,,,
2023-02-09,176.8298797607422,185.5063866778942,176.18386838628496,184.9895836444477,37118800,,,,,,,,,,,
2023-02-10,173.0829620361328,177.79392511151502,172.28787583657726,175.26949458080207,33433600,,,,,,,,,,,
2023-02-13,178.3306427001953,179.89103074344655,174.74277537499464,177.12806474414688,31463200,,,,,,,,,,,
2023-02-14,178.38035583496094,180.39791719675873,174.80242145134432,176.07457792089264,24034600,,,,,,,,,,,
