Date,Close_TSM,High_TSM,Low_TSM,Open_TSM,Volume_TSM,SharesOutstanding
2001-06-12,5.172844409942627,5.245530350135762,5.0662376024338736,5.148615287028985,5315290,5186523104
2001-06-13,5.163151741027832,5.240683777630384,5.092888630470839,5.1849580429819975,2329355,5186523104
2001-06-14,5.063815116882324,5.148615624083756,5.00324278181544,5.148615624083756,4400488,5186523104
2001-06-15,5.1413445472717285,5.153458627153551,4.9911261472780515,5.063812531298526,6554466,5186523104
2001-06-18,4.89178991317749,5.289142378108437,4.89178991317749,5.03958603616075,4431194,5186523104
2001-06-19,4.831218242645264,5.020202243260829,4.814258048452349,4.966899320006021,6066462,5186523104
2001-06-20,4.632542133331299,4.758531470096583,4.581661549532297,4.724611557079818,11151557,5186523104
2001-06-21,4.542896270751953,4.61558269489213,4.525936073373735,4.61558269489213,5513335,5186523104
2001-06-22,4.651926040649414,4.688269253763935,4.431443944579008,4.579240090603034,4234591,5186523104
2001-06-25,4.734302043914795,4.7851826193220255,4.705227769526728,4.7851826193220255,5361864,5186523104
2001-06-26,4.6470794677734375,4.680999856657144,4.56567082016208,4.630119273331585,4991769,5186523104
2001-06-27,4.745447635650635,4.7827603438313115,4.7115272515859274,4.731879767734251,4986175,5186523104
2001-06-28,4.918441295623779,4.965929551156985,4.765800508280084,4.765800508280084,12659966,5186523104
2001-06-29,5.152490615844727,5.26442778367603,4.969321310898477,4.986281502272385,6481159,5186523104
2001-07-02,5.138923645019531,5.18980422801816,5.091434910414453,5.155883839352407,2611070,5186523104
2001-07-03,5.162667751312256,5.18302027106951,5.094827447335825,5.138923859202667,2447823,5186523104
2001-07-05,4.938793659210205,5.054122695468835,4.921833464803122,5.037162501061752,5451775,5186523104
2001-07-06,4.752233982086182,4.938795227438231,4.7284896071401405,4.938795227438231,4156250,5186523104
2001-07-09,4.837032794952393,4.847208815994078,4.728487935597688,4.765800647660597,6517960,5186523104
2001-07-10,4.796328544616699,4.955753995666937,4.796328544616699,4.945577973967519,6158934,5186523104
2001-07-11,4.809896945953369,4.867561228303033,4.660647991080083,4.7386647932436725,4358800,5186523104
2001-07-12,5.101611137390137,5.125355027250827,4.935401527452613,4.9523617208859845,6180278,5186523104
2001-07-13,5.023594379425049,5.108394871027059,4.969321950515952,4.986282144072862,5373022,5186523104
2001-07-16,4.823464870452881,5.0303790623634415,4.823464870452881,5.023594889015986,4409143,5186523104
2001-07-17,4.972715377807617,4.993067426065553,4.772585315995606,4.820074063507713,6661629,5186523104
2001-07-18,4.7725830078125,4.928616572147395,4.7725830078125,4.7997192177599866,4002424,5186523104
2001-07-19,4.986281394958496,4.986281394958496,4.915048307011657,4.915048307011657,4410910,5186523104
2001-07-20,4.769192695617676,4.867561061866514,4.731880458175172,4.867561061866514,4079558,5186523104
2001-07-23,4.545318603515625,4.76919249493273,4.545318603515625,4.76919249493273,4460811,5186523104
2001-07-24,4.463910102844238,4.569063128495315,4.460518254087473,4.558887106042406,3598501,5186523104
2001-07-25,4.619943141937256,4.626727314789031,4.494438087000915,4.545318669115395,4754038,5186523104
2001-07-26,4.884519577026367,4.915047630933681,4.691174283248576,4.7488390199833725,10751049,5186523104
2001-07-27,5.1558837890625,5.342445448721876,5.091434860753172,5.223724089549736,8593509,5186523104
2001-07-30,5.193195819854736,5.264428442060721,5.155883584638752,5.155883584638752,6025275,5186523104
2001-07-31,5.529005527496338,5.5866697951982225,5.155882758910549,5.155882758910549,10831569,5186523104
2001-08-01,5.783409595489502,5.830897857775767,5.668080550352055,5.6816484212127305,11052666,5186523104
2001-08-02,5.763056755065918,5.936050551261961,5.715568495415325,5.936050551261961,13317076,5186523104
2001-08-03,5.579885959625244,5.596846149977861,5.444204912986758,5.596846149977861,6254763,5186523104
2001-08-06,5.400108814239502,5.5798862705768,5.342444544773095,5.576493946607761,7077180,5186523104
2001-08-07,5.301739692687988,5.369580454069247,5.2033708743946345,5.3661881302907135,5669634,5186523104
2001-08-08,5.230508327484131,5.461166399610133,5.199980263312702,5.308525126387865,6439501,5186523104
2001-08-09,5.2542524337768555,5.291564669082151,5.115179037257984,5.206763701404171,6951323,5186523104
2001-08-10,5.396717071533203,5.596846570851574,5.240683499028637,5.359404840424607,4574893,5186523104
2001-08-13,5.406893730163574,5.529006457658762,5.352621301014037,5.450990138370392,4079705,5186523104
2001-08-14,5.4781270027160645,5.56292750475211,5.430638740623183,5.454382633578324,4220725,5186523104
2001-08-15,5.332269191741943,5.49508647713295,5.328876867348878,5.481518131925764,3507972,5186523104
2001-08-16,5.42724609375,5.4475986130243825,5.206764039646801,5.257644623558901,4367043,5186523104
2001-08-17,5.060905456542969,5.267819103927646,5.037161095760899,5.206762516332633,6668695,5186523104
2001-08-20,5.0439453125,5.088041710818536,5.006633085349494,5.088041710818536,3750708,5186523104
2001-08-21,4.714920997619629,5.003242920573776,4.664040406178087,5.003242920573776,17759045,5186523104
2001-08-22,4.206115245819092,4.850600711671238,4.206115245819092,4.748840500260181,24537552,5186523104
2001-08-23,4.158626556396484,4.453733043560367,4.121314324027919,4.358756538655383,23277650,5186523104
2001-08-24,4.070435047149658,4.219684500463017,4.016163081433392,4.158627884281068,19982385,5186523104
2001-08-27,4.1552348136901855,4.223075108029068,4.107746083852202,4.1789787024266625,16305277,5186523104
2001-08-28,4.368932723999023,4.419813302525774,4.121314479921199,4.138274672763449,19172037,5186523104
2001-08-29,4.25699520111084,4.477477213990079,4.226467142181014,4.436772659234496,12699121,5186523104
