Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2020-04-22,66.84005737304688,67.27580994346772,65.89592187854126,66.23725720556617,116862400,14840390000,39.018208,30.942238,6.59
2020-04-23,66.5810317993164,68.2078529350214,66.5422970832411,66.78438351779307,124814400,14840390000,39.018208,30.942238,6.59
2020-04-24,68.50320434570312,68.51288987249583,67.05794791639367,67.10636816246496,126161200,14840390000,39.018208,30.942238,6.59
2020-04-27,68.55162048339844,68.88327772422247,67.77210185087893,68.21995585468255,117087600,14840390000,39.018208,30.942238,6.59
2020-04-28,67.44042205810547,69.19554835392223,67.34843543739386,69.01398356469981,112004800,14840390000,39.018208,30.942238,6.59
2020-04-29,69.65552520751953,70.12517343259273,68.72591428235458,68.92926597961963,137280800,14840390000,39.018208,30.942238,6.59
2020-04-30,71.125,71.30172577794379,69.80563320705274,70.19538886698345,183064000,14840390000,39.018208,30.942238,6.59
2020-05-01,69.97993469238281,72.38385146458401,69.2004159964793,69.29724910279991,240616800,14840390000,39.018208,30.942238,6.59
2020-05-04,70.97008514404297,71.09839070422535,69.31421423252345,70.00416229263017,133568000,14840390000,39.018208,30.942238,6.59
2020-05-05,72.0352554321289,72.86803354943969,71.28478583493806,71.43003920663523,147751200,14840390000,39.018208,30.942238,6.59
2020-05-06,72.7784652709961,73.41030748628177,72.3523906692474,72.73730731555251,142333600,14840390000,39.018208,30.942238,6.59
2020-05-07,73.53135681152344,73.8775461479968,73.10286633314963,73.40547448146583,115215200,14840390000,39.018208,30.942238,6.59
2020-05-08,75.28152465820312,75.33492815693087,73.86391326493965,74.19161621586483,133838400,14840390000,39.018208,30.942238,6.59
2020-05-11,76.46611022949219,76.96129825485261,74.58000137090725,74.7887632077065,145946400,14840390000,39.018208,30.942238,6.59
2020-05-12,75.59222412109375,77.60212591001033,75.47085322222706,77.15062231412254,162301200,14840390000,39.018208,30.942238,6.59
2020-05-13,74.67952728271484,76.69428904499877,73.60175289611796,75.77186558740954,200622400,14840390000,39.018208,30.942238,6.59
2020-05-14,75.1383056640625,75.19899111956893,73.19394129911058,73.91731459558865,158929200,14840390000,39.018208,30.942238,6.59
2020-05-15,74.6940689086914,74.74019043820076,72.87350561087283,72.90749301488646,166348400,14840390000,39.018208,30.942238,6.59
2020-05-18,76.45394897460938,76.8277733901168,75.3276309672179,76.01944652197729,135178400,14840390000,39.018208,30.942238,6.59
2020-05-19,76.01216888427734,77.31811351260087,75.98061126581322,76.47094702256406,101729600,14840390000,39.018208,30.942238,6.59
2020-05-20,77.4904556274414,77.56084540499204,76.8326201163857,76.87145968739159,111504800,14840390000,39.018208,30.942238,6.59
2020-05-21,76.91272735595703,77.89340613060031,76.67483776673394,77.3520893444608,102688800,14840390000,39.018208,30.942238,6.59
2020-05-22,77.40792083740234,77.49045214412094,76.54861296126474,76.65056034866812,81803200,14840390000,39.018208,30.942238,6.59
2020-05-26,76.88360595703125,78.70659167112338,76.82777268129091,78.5269651260588,125522000,14840390000,39.018208,30.942238,6.59
2020-05-27,77.21858978271484,77.3642363430493,76.00002862396322,76.7403955523751,112945200,14840390000,39.018208,30.942238,6.59
2020-05-28,77.25257873535156,78.51240928442117,76.6165963973256,76.8933182003932,133560800,14840390000,39.018208,30.942238,6.59
2020-05-29,77.17731475830078,77.95651372350704,76.82048407944905,77.49530586711329,153532400,14840390000,39.018208,30.942238,6.59
2020-06-01,78.1264419555664,78.24781284336196,77.00011656103608,77.13119919406478,80791200,14840390000,39.018208,30.942238,6.59
2020-06-02,78.48812103271484,78.5123966906775,77.41762896521124,77.85942075330303,87642800,14840390000,39.018208,30.942238,6.59
2020-06-03,78.92021179199219,79.182377080961,78.23567814710795,78.80855263967156,104491200,14840390000,39.018208,30.942238,6.59
