Date,Close_XOM,High_XOM,Low_XOM,Open_XOM,Volume_XOM,SharesOutstanding
2018-01-02,59.48668670654297,59.60561682487666,58.52824296321001,58.64017562237776,11469300,4263247021
2018-01-03,60.65501403808594,60.84390808091085,59.33977454775811,59.57764013177881,13957700,4263247021
2018-01-04,60.738956451416016,61.01879606609304,60.46611429491752,60.717969414377166,10863000,4263247021
2018-01-05,60.68999099731445,60.78093661275667,59.96241006128502,60.68999099731445,11047600,4263247021
2018-01-08,60.96283721923828,60.96983467858111,60.5850544771897,60.655013058125164,10927100,4263247021
2018-01-09,60.70397186279297,60.96982188706882,60.62002371828184,60.82290729667786,8131600,4263247021
2018-01-10,60.221248626708984,60.99780091887755,60.15129006671549,60.86487591864272,10822300,4263247021
2018-01-11,60.815914154052734,61.12373827242609,60.11631776683827,60.417144426840366,14366000,4263247021
2018-01-12,61.228660583496094,61.557471670334046,60.99080042386609,61.00479000016961,9834500,4263247021
2018-01-16,60.84390640258789,61.39658825940799,60.585053784837456,61.38259334088227,10882800,4263247021
2018-01-17,61.564483642578125,61.71139824713464,60.81591570269666,61.00480438355589,10546000,4263247021
2018-01-18,61.16571807861328,61.697412877212805,61.10275162236594,61.403578310554146,9223700,4263247021
2018-01-19,60.96982192993164,61.396576123151476,60.59203926687654,61.26365111092011,13090000,4263247021
2018-01-22,61.739383697509766,61.76736819464284,60.89987013350562,60.9838182874078,10270400,4263247021
2018-01-23,61.77436447143555,61.8862971203293,61.38258685656496,61.7393825163142,10281800,4263247021
2018-01-24,61.935272216796875,62.20811440244377,61.5714844151001,61.90728771858985,10316100,4263247021
2018-01-25,61.82334899902344,62.173147273763306,61.70441352911334,61.949276591429715,11271900,4263247021
2018-01-26,62.26409149169922,62.26409149169922,61.89330618288316,62.01223631259813,10514400,4263247021
2018-01-29,61.57147979736328,62.47395978124087,61.529500384452476,61.97724164719063,9315700,4263247021
2018-01-30,60.710975646972656,61.83032883623236,60.710975646972656,61.2426704134324,12408000,4263247021
2018-01-31,61.07476043701172,61.1936905295675,60.39615115743438,60.55705532089308,14404700,4263247021
2018-02-01,62.31304168701172,62.43896923341931,61.109735207449525,61.21467571903853,17971000,4263247021
2018-02-02,59.13686752319336,60.172272275550924,58.066486162391925,59.55662418698864,29822100,4263247021
2018-02-05,55.77181625366211,58.75909001851759,54.659455393800606,58.262377300590614,30452700,4263247021
2018-02-06,54.81336212158203,56.21255454504294,53.79894974957108,54.925300077456754,36262800,4263247021
2018-02-07,53.826934814453125,55.554938329915146,53.812939901071296,54.87632914327665,21994500,4263247021
2018-02-08,53.21828079223633,54.274672510458686,53.190296304750845,54.1767294730071,25650800,4263247021
2018-02-09,53.557525634765625,54.05225397621651,52.228837290675415,53.88969906880711,29491600,4263247021
2018-02-12,54.00984573364258,54.857949157755996,53.59992934825821,54.455101783726754,19340400,4263247021
2018-02-13,53.925048828125,54.24308429910665,53.522201381912424,53.78369553607346,11926600,4263247021
2018-02-14,54.038116455078125,54.1794697219797,53.12640810384718,53.56459514312838,17188400,4263247021
2018-02-15,53.86143112182617,54.20773720378808,53.32429946974932,54.15120128678737,14432400,4263247021
2018-02-16,54.09466552734375,54.504581972089774,53.6070061226605,53.81903335741232,13722400,4263247021
2018-02-20,53.53631591796875,54.751926858310064,53.33135775783447,54.04517681318836,13387300,4263247021
2018-02-21,52.92852783203125,54.023992918602424,52.914395198999955,53.585805805558614,11715000,4263247021
2018-02-22,53.61406326293945,54.30667534454969,53.14054198786862,53.21828493059074,14020200,4263247021
2018-02-23,54.794349670410156,54.85796000102794,53.67768290691451,53.776627517140525,13378800,4263247021
2018-02-26,55.72018814086914,55.783798468412286,54.81554866705644,54.94276393006614,16940400,4263247021
2018-02-27,54.77314758300781,56.44814771475841,54.77314758300781,55.83327302009829,14629500,4263247021
2018-02-28,53.529273986816406,55.303219007245914,53.50100332366115,55.239614059204825,17087800,4263247021
2018-03-01,53.147621154785156,54.19361398609146,52.907328637583824,53.38085005118194,15696700,4263247021
2018-03-02,53.39498519897461,53.62114507029996,52.638762623723274,52.92852743132295,15630300,4263247021
2018-03-05,53.90385055541992,54.1088088181648,53.091091910289265,53.16883488554,14891000,4263247021
2018-03-06,53.84023666381836,54.40563904588544,53.614076789406866,54.18654279199416,10754300,4263247021
