Date,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,TotalRevenue,GrossProfit,OperatingIncome,NetIncome,TotalAssets,TotalLiab,CommonStock,OperatingCashFlow,CapEx,DebtToEquity,FreeCashFlow
1990-01-02,0.37718668580055237,0.37718668580055237,0.36603054912514005,0.37081212054850227,53035200,,,,,,,,,,,
1990-01-03,0.3793121874332428,0.3835619101928716,0.3761243025961214,0.3803746454816454,113774400,,,,,,,,,,,
1990-01-04,0.3904684782028198,0.39099970743512114,0.37718687192309147,0.37931233602241865,125740800,,,,,,,,,,,
1990-01-05,0.3809058368206024,0.390999553028374,0.38037464427607853,0.38887467341629733,69566400,,,,,,,,,,,
1990-01-08,0.3867493271827698,0.3867493271827698,0.37612441521548295,0.3803747593736472,58982400,,,,,,,,,,,
1990-01-09,0.385686993598938,0.39099976086200267,0.38356211285739344,0.38674941573070376,70300800,,,,,,,,,,,
1990-01-10,0.37506183981895447,0.38781224818887466,0.37453064727944424,0.38249948379992504,103766400,,,,,,,,,,,
1990-01-11,0.3676242232322693,0.3803746312871369,0.3612496575697038,0.37718671009098587,95774400,,,,,,,,,,,
1990-01-12,0.3660306930541992,0.3708122663577518,0.35699943223022906,0.3617809690557771,148910400,,,,,,,,,,,
1990-01-15,0.3660306930541992,0.36974980799964285,0.3623121982348316,0.3644370419950404,62467200,,,,,,,,,,,
1990-01-16,0.37718668580055237,0.3793121488510711,0.3591247549029232,0.36337447723028665,80092800,,,,,,,,,,,
1990-01-17,0.3718746304512024,0.3846243841133199,0.3697497505431802,0.3739994738812258,97588800,,,,,,,,,,,
1990-01-18,0.40374940633773804,0.40374940633773804,0.3803747398272821,0.38090593250524307,292363200,,,,,,,,,,,
1990-01-19,0.40003088116645813,0.407999719156101,0.39737480854524443,0.4048118337714429,99259200,,,,,,,,,,,
1990-01-22,0.385686993598938,0.3994998309983776,0.38462453498915916,0.3994998309983776,167688000,,,,,,,,,,,
1990-01-23,0.3814370632171631,0.38781224917940976,0.37931218361971486,0.38674920749379343,139348800,,,,,,,,,,,
